taxonKey	year_2022_em_status_occs_Flanders	year_2022_em_status_occupancy_Flanders	year_2022_em_status_occs_FlandersNatura2000	year_2022_em_status_occupancy_FlandersNatura2000	year_2023_em_status_occs_Flanders	year_2023_em_status_occupancy_Flanders	year_2023_em_status_occs_FlandersNatura2000	year_2023_em_status_occupancy_FlandersNatura2000	year_2024_em_status_occs_Flanders	year_2024_em_status_occupancy_Flanders	year_2024_em_status_occs_FlandersNatura2000	year_2024_em_status_occupancy_FlandersNatura2000	mean_growth	taxonName	class	clasKey	kingdom
1577153	1	1	1	1	3	3	1	1	2	2	1	1		Hermetia illucens (Linnaeus, 1758)	Insecta	216	Animalia
1579447	3	3	3	3	3	3	3	3	3	3	3	3	1.5158201804771798	Exaireta spinigera (Wiedemann, 1830)	Insecta	216	Animalia
1622599	0	0	3	3	0	0	2	2	0	0	2	2	0.4581542148780841	Rhagoletis cingulata (Loew, 1862)	Insecta	216	Animalia
1622658	2	2	3	3	3	3	3	3	3	3	1	2		Rhagoletis completa Cresson, 1929	Insecta	216	Animalia
1626096	3	3	1	1	3	3	1	1	3	3	3	3		Ceratitis capitata (Wiedemann, 1824)	Insecta	216	Animalia
1651430	0	1			0	3			0	3			0.5131770413763337	Aedes albopictus (Skuse, 1894)	Insecta	216	Animalia
1652212	2	3			2	3			1	1				Aedes japonicus (Theobald, 1901)	Insecta	216	Animalia
1690429	0	1	0	1	0	1	0	1	0	1	0	1	0.768846764748582	Meconema meridionale Costa, 1860	Insecta	216	Animalia
1702101	2	3			3	3			2	2				Anacridium aegyptium (Linnaeus, 1764)	Insecta	216	Animalia
1713034	2	2			2	3			2	3				Gryllus bimaculatus De Geer, 1773	Insecta	216	Animalia
1718308	3	3	3	3	3	3	3	3	3	3	3	3	1.253832075546143	Acheta domesticus (Linnaeus, 1758)	Insecta	216	Animalia
1719204	3	3			1	1			3	3				Gryllomorpha dalmatina (Ocskay, 1832)	Insecta	216	Animalia
1722299	2	2			2	2			2	2				Gryllodes sigillatus (Walker, 1869)	Insecta	216	Animalia
1737131	3	3	3	3	2	2	2	2	2	2	2	2		Epiphyas postvittana (Walker, 1863)	Insecta	216	Animalia
1749449	0	1	3	3	0	1	1	3	0	1	1	2	0.7020708517618652	Cameraria ohridella Deschka & Dimić, 1986	Insecta	216	Animalia
1749580	1	1	1	1	1	1	2	3	1	1	2	3	0.8155377643365253	Phyllocnistis citrella Stainton, 1856	Insecta	216	Animalia
1751299	3	1	1	1	3	1	1	1	1	1	1	2	1.0121617207029252	Bucculatrix ainsliella Murtfeldt, 1905	Insecta	216	Animalia
1798504	3	3			1	1			1	1				Dysgonia algira Linnaeus, 1767	Insecta	216	Animalia
1830823	2	2			3	3			2	2				Prays citri Millière, 1873	Insecta	216	Animalia
1852787	2	3	2	1	2	3	2	3	2	2	2	3		Blastobasis lacticolella Rebel, 1939	Insecta	216	Animalia
1852831	3	3	3	3	3	3	3	1	1	2	2	1		Blastobasis adustella Walsingham, 1894	Insecta	216	Animalia
1873890	1	1			1	1			3	3				Cadra cautella (Walker, 1863)	Insecta	216	Animalia
1873903	3	1			1	1			1	1				Cadra figulilella (Gregson, 1871)	Insecta	216	Animalia
1885213	3	3			2	2			2	2				Crocidophora butleri South, 1901	Insecta	216	Animalia
1891245	1	1			1	1			1	1				Sufetula diminutalis Walker, 1865	Insecta	216	Animalia
1920491	1	1	1	1	2	2	2	2	1	1	2	2		Pieris mannii (Mayer, 1851)	Insecta	216	Animalia
1941864	2	2	1	1	1	1	1	1	1	1	3	3		Paysandisia archon (Burmeister, 1880)	Insecta	216	Animalia
1997215	2	2	3	3	2	2	3	3	2	0	1	1	1.413644371470652	Blattella germanica (Linnaeus, 1767)	Insecta	216	Animalia
1998083	1	1			1	1			1	1				Ectobius vittiventris (Costa, 1847)	Insecta	216	Animalia
1998599	1	1			1	1			3	3				Cariblatta lutea (Saussure & Zehntner, 1893)	Insecta	216	Animalia
2000152	1	1			3	3			3	3				Periplaneta americana (Linnaeus, 1758)	Insecta	216	Animalia
2000204	2	3	3	3	2	3	3	3	0	1	2	3	1.1952373534424316	Periplaneta australasiae (Fabricius, 1775)	Insecta	216	Animalia
2008616	3	3	3	3	2	3	2	3	3	3	2	3		Empicoris rubromaculatus (Blackburn, 1888)	Insecta	216	Animalia
2020655	3	3	3	3	3	3	3	3	3	3	3	3	1.6454713099988965	Corythucha ciliata (Say, 1832)	Insecta	216	Animalia
2020686	3	1	3	3	3	1	1	2	3	1	1	2	1.1625915700481324	Stephanitis takeyai Drake & Maa, 1955	Insecta	216	Animalia
2020779	1	1			3	1			3	3				Buchananiella continua (White, 1880)	Insecta	216	Animalia
2026623	1	1			3	3			3	3				Pediopsoides sharmai (Viraktamath, 1981)	Insecta	216	Animalia
2029273	3	2	3	3	2	2	3	3	2	2	2	3		Zygina nivea (Mulsant & Rey, 1855)	Insecta	216	Animalia
2037925	3	3	2	2	3	3	2	2	3	3	2	2	1.5440567346530674	Orientus ishidae (Matsumura, 1902)	Insecta	216	Animalia
2037991	1	1			3	3			1	1				Liguropia juniperi (Lethierry, 1876)	Insecta	216	Animalia
2038171	1	1	3	3	1	1	3	3	1	1	2	2	0.9344018884218184	Opsius stactogalus Fieber, 1866	Insecta	216	Animalia
2041682	3	0	3	2	3	0	3	0	3	0	3	0	1.1992140370596378	Graphocephala fennahi Young, 1977	Insecta	216	Animalia
2049661	1	1	3	3	1	1	2	3	1	1	2	2	0.7272828314520317	Adelges abietis (Linnaeus, 1758)	Insecta	216	Animalia
2072196	3	3			2	2			2	2				Aphis nerii Boyer de Fonscolombe, 1841	Insecta	216	Animalia
2077985	1	1	1	1	3	2	1	1	3	3	3	3		Impatientinum asiaticum Nevsky, 1929	Insecta	216	Animalia
2078259	1	1			3	3			1	1				Neotoxoptera formosana (Takahashi, 1921)	Insecta	216	Animalia
2078852	3	2	3	3	3	2	3	3	3	2	2	3	1.2334778687606025	Nezara viridula (Linnaeus, 1758)	Insecta	216	Animalia
2080592	1	1			3	3			3	3				Icerya purchasi Maskell, 1879	Insecta	216	Animalia
2095283	2	2	1	1	3	3	1	1	3	3	3	3		Pseudococcus longispinus (Targioni Tozzetti, 1867)	Insecta	216	Animalia
2115769	1	1	1	1	1	1	1	1	1	1	1	1	0.870763201141225	Austrominius modestus (Darwin, 1854)			Animalia
2128502	3	3			2	2			1	1				Aceria erinea (Nalepa, 1891)	Arachnida	367	Animalia
2142456	3	0	2	1	3	0	3	1	3	0	2	1	1.1567809483273197	Uloborus plumipes Lucas, 1846	Arachnida	367	Animalia
2149679	0	0	3	2	0	0	2	2	0	0	1	1	0.5640315614288781	Holocnemus pluchei (Scopoli, 1763)	Arachnida	367	Animalia
2153287	3	3	3	3	3	3	3	3	3	3	3	3	1.9955437835085037	Zoropsis spinimana (Dufour, 1820)	Arachnida	367	Animalia
2157203	3	3	3	3	2	2	3	1	2	2	1	1		Steatoda nobilis (Thorell, 1875)	Arachnida	367	Animalia
2157245	0	0	3	0	0	0	3	0	0	0	3	0	0.8387303266644854	Steatoda grossa (C.L.Koch, 1838)	Arachnida	367	Animalia
2164198	3	3			3	3			2	2				Cheiracanthium mildei L.Koch, 1864	Arachnida	367	Animalia
2169430	2	2	3	3	3	3	3	3	2	2	2	2		Macaroeris nidicolens (Walckenaer, 1802)	Arachnida	367	Animalia
2174528	0	0	1	1	0	0	3	3	0	0	1	2	0.745098319908576	Saitis barbipes (Simon, 1868)	Arachnida	367	Animalia
2176858	3	3	1	1	1	1	1	1	2	3	1	1		Philaeus chrysops (Poda, 1761)	Arachnida	367	Animalia
2177741	3	1	1	1	3	1	1	1	1	1	1	1	1.0168601484102955	Hasarius adansoni (Audouin, 1826)	Arachnida	367	Animalia
2211599	2	1	1	1	1	1	1	1	1	1	3	3		Ianiropsis serricaudis Gurjanova, 1936	Malacostraca	229	Animalia
2217982	3	3	0	3	3	3	0	3	3	3	0	3	1.5426268549663953	Crangonyx pseudogracilis Bousfield, 1958	Malacostraca	229	Animalia
2220312	2	2			2	2			2	2				Hemimysis anomala G.O.Sars, 1907	Malacostraca	229	Animalia
2220347	3	3	2	1	3	3	1	1	3	3	1	1	1.269417258907964	Limnomysis benedeni Czerniavsky, 1882	Malacostraca	229	Animalia
2225772	3	3	3	3	3	3	3	3	3	3	3	3	1.4293384222917296	Hemigrapsus sanguineus (De Haan, 1835)	Malacostraca	229	Animalia
2225776	1	3	3	3	1	3	3	3	1	1	3	3	0.8976672028688696	Eriocheir sinensis H.Milne Edwards, 1853	Malacostraca	229	Animalia
2227289	3	3	2	2	3	3	2	2	3	3	3	3	2.2108458608653887	Procambarus acutus (Girard, 1852)	Malacostraca	229	Animalia
2227300	3	3	3	3	3	3	3	3	3	3	3	3	1.4345478191872454	Procambarus clarkii (Girard, 1852)	Malacostraca	229	Animalia
2227663	3	3	3	1	3	3	3	1	3	3	3	1	1.2284011228938778	Rhithropanopeus harrisii (Gould, 1841)	Malacostraca	229	Animalia
2286388	1	1	1	1	1	1	1	1	1	1	1	1		Mulinia lateralis (Say, 1822)	Bivalvia	137	Animalia
2287072	0	1	0	0	0	1	0	0	0	1	0	0	0.681766470809516	Dreissena polymorpha (Pallas, 1771)	Bivalvia	137	Animalia
2287073	1	1			1	1			2	2				Dreissena bugensis (Andrusov, 1897)	Bivalvia	137	Animalia
2288926	1	1	1	1	2	1	2	1	1	1	1	1		Potamocorbula amurensis (Schrenck, 1862)	Bivalvia	137	Animalia
2294275	3	3			3	2			2	2				Eobania vermiculata (O.F.Müller, 1774)	Gastropoda	225	Animalia
2294277	1	1	0	1	1	1	0	1	1	1	0	1	0.5904609427964669	Theba pisana (O.F.Müller, 1774)	Gastropoda	225	Animalia
2294284	2	1			1	1			2	3				Otala lactea (O.F.Müller, 1774)	Gastropoda	225	Animalia
2295442	1	3	1	1	1	3	1	1	1	3	1	1	0.9059618144267542	Limacus flavus (Linnaeus, 1758)	Gastropoda	225	Animalia
2296807	1	1	2	2	1	1	2	2	1	1	2	2	0.33017014185941673	Cochlicella barbara (Linnaeus, 1758)	Gastropoda	225	Animalia
2297108	0	0	1	1	0	0	2	3	0	0	2	3	0.4086701586188871	Milax gagates (Draparnaud, 1801)	Gastropoda	225	Animalia
2307726	1	1			1	1			2	2				Microscolex phosphoreus (Dugès, 1837)	Clitellata	255	Animalia
2320810	1	1	1	1	1	1	1	1	3	3	3	3		Boccardia proboscidea Hartman, 1940	Polychaeta	256	Animalia
2327735	1	1	0	1	1	1	0	1	1	1	0	1	0.909655942459926	Ficopomatus enigmaticus (Fauvel, 1923)	Polychaeta	256	Animalia
2337607	0	0	0	0	0	0	1	0	0	0	1	0	0.27779911600688245	Silurus glanis Linnaeus, 1758			Animalia
2362030	1	1	3	3	1	1	3	3	1	1	3	3	0.845901641950885	Ctenopharyngodon idella (Valenciennes, 1844)			Animalia
2362868	1	1	1	1	1	1	1	1	1	1	1	1	0.8890245641942058	Pseudorasbora parva (Temminck & Schlegel, 1846)			Animalia
2366634	1	1	1	1	1	1	1	1	1	1	1	1	0.8108514329170303	Carassius gibelio (Bloch, 1782)			Animalia
2367742	1	1			1	1			2	2				Pimephales promelas Rafinesque, 1820			Animalia
2367911	0	1	0	1	3	1	3	1	3	1	3	1	12.64015881464535	Misgurnus mohoity (Dybowski, 1869)			Animalia
2379089	0	0	1	1	0	0	1	1	0	0	1	1	0.6325054609181685	Neogobius melanostomus (Pallas, 1814)			Animalia
2379245	0	1	1	1	0	1	1	2	0	1	1	2	0.45716783143430595	Proterorhinus semilunaris (Heckel, 1837)			Animalia
2382155	1	1	1	1	0	1	1	1	0	0	1	1	0.7829155274021065	Sander lucioperca (Linnaeus, 1758)			Animalia
2394486	3	3	3	3	3	3	3	3	3	3	3	3	1.16756125414229	Lepomis gibbosus (Linnaeus, 1758)			Animalia
2426640	2	0	0	0	2	0	0	0	2	0	0	0	0.6600114838607983	Pelophylax bedriagae (Camerano, 1882)	Amphibia	131	Animalia
2426661	3	3	1	3	3	3	3	3	3	3	3	3	1.3008089979658493	Pelophylax ridibundus (Pallas, 1771)	Amphibia	131	Animalia
2427091	1	0	3	1	1	1	3	1	1	1	1	1	0.8394553195085311	Lithobates catesbeianus (Shaw, 1802)	Amphibia	131	Animalia
2435035	3	1	3	1	3	1	3	1	3	1	3	1	1.0347702775139063	Felis catus Linnaeus, 1758	Mammalia	359	Animalia
2436940	3	3	3	3	3	3	3	3	3	3	3	3	1.1145848288887132	Oryctolagus cuniculus (Linnaeus, 1758)	Mammalia	359	Animalia
2437282	1	1			1	1			1	1				Tamiasciurus hudsonicus (Erxleben, 1777)	Mammalia	359	Animalia
2437397	1	1			1	1			2	2				Callosciurus prevostii (Desmarest, 1822)	Mammalia	359	Animalia
2437450	0	1	0	1	0	1	0	1	0	1	0	1	0.7612408058580996	Tamias sibiricus (Laxmann, 1769)	Mammalia	359	Animalia
2437619	1	1	1	1	3	3	1	1	2	2	1	1		Dolichotis patagonum (Zimmermann, 1780)	Mammalia	359	Animalia
2439261	3	3	3	3	3	3	3	3	3	3	3	3	1.2007538346335809	Rattus norvegicus (Berkenhout, 1769)	Mammalia	359	Animalia
2439270	1	3	1	1	1	3	1	1	1	3	1	1	0.84401157892596	Rattus rattus (Linnaeus, 1758)	Mammalia	359	Animalia
2440196	1	1			1	1			3	3				Macropus rufogriseus (Desmarest, 1817)	Mammalia	359	Animalia
2440946	1	0	1	1	1	0	1	2	1	0	1	2	0.8576084352270951	Muntiacus reevesi (Ogilby, 1839)	Mammalia	359	Animalia
2440954	0	2	0	2	0	1	0	1	0	1	0	1	0.24574683224232577	Cervus nippon Temminck, 1838	Mammalia	359	Animalia
2441905	1	1			1	1			3	3				Chelydra serpentina (Linnaeus, 1758)	Testudines	11418114	Animalia
2443002	3	2	1	2	3	2	1	2	3	2	1	2	1.0615876279284768	Trachemys scripta (Thunberg In Schoepff, 1792)	Testudines	11418114	Animalia
2445034	2	3			3	3			3	3				Tarentola mauritanica (Linnaeus, 1758)	Squamata	11592253	Animalia
2455615	1	1			3	3			3	3				Pantherophis guttatus (Linnaeus, 1766)	Squamata	11592253	Animalia
2469188	2	1			2	1			2	1				Podarcis muralis (Laurenti, 1768)	Squamata	11592253	Animalia
2473341	3	1	1	1	3	1	1	1	3	1	1	1	1.1688419998798278	Numida meleagris (Linnaeus, 1758)	Aves	212	Animalia
2473477	0	1	0	3	0	1	0	2	0	1	0	2	0.7088460658326597	Syrmaticus reevesii (J.E.Gray, 1829)	Aves	212	Animalia
2474029	2	2			2	2			2	2				Alectoris chukar (J.E.Gray, 1830)	Aves	212	Animalia
2474051	1	1			1	1			1	1			0.9559805555059047	Alectoris rufa (Linnaeus, 1758)	Aves	212	Animalia
2474416	1	1	1	1	1	1	1	1	2	2	2	2		Porphyrio porphyrio (Linnaeus, 1758)	Aves	212	Animalia
2474936	1	2			1	1			1	1			0.4878275061843716	Anthropoides virgo (Linnaeus, 1758)	Aves	212	Animalia
2475235	1	1			1	1			3	3				Tauraco leucotis (Ruppell, 1835)	Aves	212	Animalia
2475648	1	1	1	1	1	1	1	1	1	2	2	2	0.9532481028326215	Dacelo novaeguineae (Hermann, 1783)	Aves	212	Animalia
2479226	3	3	3	3	3	3	3	3	3	3	3	3	1.1641308374711425	Psittacula krameri (Scopoli, 1769)	Aves	212	Animalia
2479311	1	1	1	1	1	1	1	1	2	2	2	2		Platycercus elegans (Gmelin, 1788)	Aves	212	Animalia
2479329	1	1	1	1	1	1	1	1	1	1	1	1	0.7726009035415055	Platycercus eximius (Shaw, 1792)	Aves	212	Animalia
2479407	3	3	3	3	3	3	2	3	3	3	2	2	1.189697507966708	Myiopsitta monachus (Boddaert, 1783)	Aves	212	Animalia
2479544	3	3			3	3			2	2				Agapornis fischeri Reichenow, 1887	Aves	212	Animalia
2479798	1	1	1	1	1	1	1	1	1	1	1	1	0.9689391276447027	Melopsittacus undulatus (Shaw, 1805)	Aves	212	Animalia
2479804	1	1			1	1			3	3				Pyrrhura molinae (Massena & Souance, 1854)	Aves	212	Animalia
2479925	1	1			1	1			3	3				Alisterus scapularis (Lichtenstein, 1816)	Aves	212	Animalia
2479977	1	1			1	1			1	1			0.9605251985063334	Nymphicus hollandicus (Kerr, 1792)	Aves	212	Animalia
2480372	0	0	0	2	0	0	0	1	0	0	0	1	0.3007532690641831	Elanus caeruleus (Desfontaines, 1789)	Aves	212	Animalia
2480410	1	3	1	3	1	3	1	2	1	3	1	3	0.979163076147976	Parabuteo unicinctus (Temminck, 1824)	Aves	212	Animalia
2480446	3	3			3	3			2	2				Haliaeetus leucocephalus (Linnaeus, 1766)	Aves	212	Animalia
2480491	1	0	1	1	1	0	1	1	1	0	1	1	0.6378519053810284	Circus macrourus (S.G.Gmelin, 1770)	Aves	212	Animalia
2480524	0	0			0	0			0	0			0.3957243779704321	Buteo lagopus (Pontoppidan, 1763)	Aves	212	Animalia
2480685	1	2	3	3	1	1	3	3	1	2	3	3	0.7523309257533344	Hieraaetus pennatus (Gmelin, 1788)	Aves	212	Animalia
2480764	1	0	1	1	1	0	1	1	1	0	1	1	0.8182884209703629	Threskiornis aethiopicus (Latham, 1790)	Aves	212	Animalia
2480773	1	1	1	3	1	3	1	3	1	3	1	3	0.8230274280096385	Plegadis falcinellus (Linnaeus, 1766)	Aves	212	Animalia
2480906	0	1	1	1	0	1	1	1	0	1	1	1	0.6896787279170323	Ardeola ralloides (Scopoli, 1769)	Aves	212	Animalia
2481062	0	1	0	1	0	1	0	1	0	1	0	1	0.8493200127853668	Falco vespertinus Linnaeus, 1766	Aves	212	Animalia
2481134	1	1			1	1			1	1			0.8470100932418527	Larus delawarensis Ord, 1815	Aves	212	Animalia
2481263	0	0	2	1	0	0	2	1	0	0	2	1	0.7864720978303409	Gelochelidon nilotica (J.F.Gmelin, 1789)	Aves	212	Animalia
2481670	1	1			1	1			2	2				Limnodromus scolopaceus (Say, 1822)	Aves	212	Animalia
2481703	0	0	0	0	0	0	0	0	0	0	0	0	0.6016112012307736	Xenus cinereus (Güldenstädt, 1775)	Aves	212	Animalia
2481719	0	0	0	0	0	0	0	0	0	0	0	0	0.707448527113528	Tringa stagnatilis (Bechstein, 1803)	Aves	212	Animalia
2481744	0	0	0	0	0	0	0	0	0	0	0	0	0.6504306581590784	Calidris melanotos (Vieillot, 1819)	Aves	212	Animalia
2481959	0	0	0	1	0	0	0	1	0	0	0	1	0.8822411564453015	Gavia arctica (Linnaeus, 1758)	Aves	212	Animalia
2481962	0	0	0	0	0	0	0	0	0	0	0	0	0.8117067591201097	Gavia immer (Brunnich, 1764)	Aves	212	Animalia
2484605	0	0			0	0			0	0			0.506506458044911	Bombycilla garrulus (Linnaeus, 1758)	Aves	212	Animalia
2486132	1	1	1	1	1	1	1	1	1	1	1	1		Pycnonotus leucotis (Gould, 1836)	Aves	212	Animalia
2489075	1	1			1	1			2	2				Lamprotornis superbus Rüppell, 1845	Aves	212	Animalia
2490384	2	2			3	3			3	3				Cardinalis cardinalis (Linnaeus, 1758)	Aves	212	Animalia
2492867	0	0	0	0	0	0	0	0	0	0	0	1	0.6729874416051714	Lanius senator Linnaeus, 1758	Aves	212	Animalia
2493618	1	1			1	1			3	3				Lonchura striata (Linnaeus, 1766)	Aves	212	Animalia
2493633	3	1	3	3	3	1	3	3	3	1	2	2	1.076278398931115	Taeniopygia guttata (Vieillot, 1817)	Aves	212	Animalia
2494303	3	3	0	1	3	3	0	1	3	3	0	1	1.0537488165120406	Serinus canaria (Linnaeus, 1758)	Aves	212	Animalia
2495414	3	3	3	3	3	3	3	3	3	3	3	3	1.2642941912884493	Columba livia J.F.Gmelin, 1789	Aves	212	Animalia
2495494	0	1			0	1			0	1			0.5036041775686027	Geopelia cuneata (Latham, 1801)	Aves	212	Animalia
2498015	1	1	3	0	1	1	3	0	1	1	3	0	0.9492528590647079	Tadorna ferruginea (Pallas, 1764)	Aves	212	Animalia
2498026	0	0	0	0	0	0	0	0	0	0	0	0	0.5144730065839705	Anser erythropus (Linnaeus, 1758)	Aves	212	Animalia
2498034	1	1	1	1	1	1	1	1	1	1	1	1	0.9593254756812615	Anser cygnoides (Linnaeus, 1758)	Aves	212	Animalia
2498035	3	1	3	1	3	1	3	1	3	1	3	1	1.0455241745680754	Anser indicus (Latham, 1790)	Aves	212	Animalia
2498046	1	3	1	1	1	1	1	1	1	1	1	1	0.9244211431364406	Chenonetta jubata (Latham, 1801)	Aves	212	Animalia
2498090	1	0	0	1	1	0	0	1	1	0	0	2	0.9021535409942956	Anas bahamensis Linnaeus, 1758	Aves	212	Animalia
2498161	1	3	3	3	1	3	3	3	1	3	1	3	0.7766748074111094	Anser rossii Cassin, 1861	Aves	212	Animalia
2498163	1	1	3	2	1	1	3	2	1	1	3	2	0.9022613892320923	Anser canagicus (Sevastianov, 1802)	Aves	212	Animalia
2498167	0	0	1	1	0	0	1	1	0	0	1	1	0.7715403341382352	Anser caerulescens (Linnaeus, 1758)	Aves	212	Animalia
2498252	3	3	3	3	3	1	3	3	3	1	3	3	1.0863080620346766	Alopochen aegyptiaca (Linnaeus, 1766)	Aves	212	Animalia
2498259	0	0	0	0	0	0	0	0	0	0	0	0	0.6035955447802923	Aythya nyroca (Güldenstädt, 1770)	Aves	212	Animalia
2498305	0	0	0	0	0	0	0	0	0	0	0	0	0.6575702565331402	Oxyura jamaicensis (J.F.Gmelin, 1789)	Aves	212	Animalia
2498329	1	3	1	1	3	3	1	1	3	3	1	1	1.0231599487611656	Bucephala albeola (Linnaeus, 1758)	Aves	212	Animalia
2498344	3	3	3	3	3	3	3	3	3	3	3	3	1.1876416919032906	Cygnus atratus (Latham, 1790)	Aves	212	Animalia
2498384	1	1	1	3	1	1	1	1	1	1	1	1	0.9197096792784037	Callonetta leucophrys (Vieillot, 1816)	Aves	212	Animalia
2498387	0	1	0	3	0	1	0	3	0	1	0	3	0.7589244031213339	Aix sponsa (Linnaeus, 1758)	Aves	212	Animalia
2498388	3	1	1	1	1	1	1	1	1	1	1	1	1.0076644265601677	Aix galericulata (Linnaeus, 1758)	Aves	212	Animalia
2498402	3	1	3	1	1	1	3	1	1	1	3	1	1.0042526119464539	Dendrocygna bicolor (Vieillot, 1816)	Aves	212	Animalia
2498408	1	1	1	1	1	1	1	1	1	1	1	1	0.8925519644669941	Lophodytes cucullatus (Linnaeus, 1758)	Aves	212	Animalia
2501248	3	3	3	3	2	2	2	2	2	2	2	2		Mnemiopsis leidyi A.Agassiz, 1865	Tentaculata	365	Animalia
2502810	3	1			3	1			3	3			1.828121787820743	Caenoplana coerulea Moseley, 1877			Animalia
2515351	1	1			2	2			3	3				Puccinia oxalidis Dietel & Ellis	Pucciniomycetes	270	Fungi
2516075	1	1	1	0	1	1	1	0	1	1	1	0	0.8973590930152046	Cumminsiella mirabilissima (Peck) Nannf.	Pucciniomycetes	270	Fungi
2516419	1	1			1	1			1	1			0.8119062098422645	Tranzschelia discolor (Fuckel) Tranzschel & M.A.Litv.	Pucciniomycetes	270	Fungi
2516809	1	1			1	1			1	1			0.799033855478889	Melampsoridium betulinum (Pers.) Kleb.	Pucciniomycetes	270	Fungi
2537743	2	2	1	1	2	2	1	1	3	3	3	3		Lentinula edodes (Berk.) Pegler	Agaricomycetes	186	Fungi
2598552	0	0	1	1	0	0	1	2	0	0	1	1	0.7808736425706025	Seifertia azaleae (Peck) Partr. & Morgan-Jones	Dothideomycetes	183	Fungi
2650107	3	3	1	3	3	3	1	3	3	3	1	3	1.093816499431815	Azolla filiculoides Lam.	Polypodiopsida	7228684	Plantae
2650827	3	3	1	1	1	1	1	1	1	1	1	1	0.93668857229824	Cyrtomium fortunei J.Sm.	Polypodiopsida	7228684	Plantae
2650829	3	3			3	3			1	3			1.01247973975132	Cyrtomium falcatum (L.fil.) C.Presl	Polypodiopsida	7228684	Plantae
2650903	1	0	0	1	1	0	0	1	1	0	1	1	0.9033533779116839	Onoclea sensibilis L.	Polypodiopsida	7228684	Plantae
2651122	3	3	3	3	1	1	1	1	1	1	3	3		Polystichum munitum (Kaulf.) C.Presl	Polypodiopsida	7228684	Plantae
2651816	1	1			1	1			1	1			1.0059238086471662	Adiantum capillus-veneris L.	Polypodiopsida	7228684	Plantae
2651826	3	1	1	1	3	1	1	1	3	1	3	3	1.1475901599147327	Adiantum raddianum C.Presl	Polypodiopsida	7228684	Plantae
2677047	3	3	3	3	3	1	3	3	3	1	3	3	1.0798345502204483	Orthodontium lineare Schwägr.	Bryopsida	327	Plantae
2683866	1	3	3	3	1	3	3	3	1	3	3	3	0.9808279883230149	Chamaecyparis lawsoniana (A.Murray bis) Parl.	Pinopsida	194	Plantae
2684171	1	1	3	3	1	1	3	3	1	1	3	3	0.8244326640962618	Thuja plicata Donn ex D.Don	Pinopsida	194	Plantae
2684178	0	1			0	1			0	1			0.4910480280470116	Thuja occidentalis L.	Pinopsida	194	Plantae
2684191	1	1			1	1			1	1			0.8876369802511914	Taxodium distichum (L.) Rich.	Pinopsida	194	Plantae
2684984	3	3			1	1			1	1				Araucaria araucana (Molina) K.Koch	Pinopsida	194	Plantae
