taxonKey	countryCode	occurrenceStatus	establishmentMeans	degreeOfEstablishment	pathway	eventDate	source	first_observed
152543121	BE	present	introduced	na	na		https://www.gbif.org/species/164300703: Urocystis trollii Nannf. in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2025). Ad hoc checklist of alien species in Belgium. Version 1.9. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	
152543128	BE	present	introduced	na	na		https://www.gbif.org/species/164300761: Sporisorium destruens (Schltdl.) Vánky in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2025). Ad hoc checklist of alien species in Belgium. Version 1.9. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs	
152543132	BE	present	introduced	na	na	2005/2018	https://www.gbif.org/species/213159098: Graptemys pseudogeographica kohnii (Baur, 1890) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2005
152543132	BE	present	introduced	casual	pet	2005/2018	https://www.gbif.org/species/213159098: Graptemys pseudogeographica kohnii (Baur, 1890) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2005
152543136	BE	present	introduced	na	na	2005/2018	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2005
152543136	BE	present	introduced	casual	pet	2005/2018	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2005
152543139	BE	present	introduced	na	na	2003/2024	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2003
152543139	BE	present	introduced	casual	pet	2012/2024	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2012
152543139	BE	present	introduced	casual	pet	2003/2024	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2003
152543139	BE	present	introduced	casual	pet	2018/2024	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2018
152543140	BE	present	introduced	na	na	1975/2024	https://www.gbif.org/species/180661219: Trachemys scripta elegans (Wied, 1838) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1975
152543140	BE	present	introduced	casual	pet	2009/2024	https://www.gbif.org/species/180661219: Trachemys scripta elegans (Wied, 1838) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2009
152543140	BE	present	introduced	casual	pet	1975/2024	https://www.gbif.org/species/180661219: Trachemys scripta elegans (Wied, 1838) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1975
152543140	BE	present	introduced	casual	pet	2009/2024	https://www.gbif.org/species/180661219: Trachemys scripta elegans (Wied, 1838) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2009
152543141	BE	present	introduced	na	na	1997/2024	https://www.gbif.org/species/180661221: Trachemys scripta scripta (Schoepff, 1792) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1997
152543141	BE	present	introduced	casual	pet	2010/2024	https://www.gbif.org/species/180661221: Trachemys scripta scripta (Schoepff, 1792) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2010
152543141	BE	present	introduced	casual	pet	1997/2024	https://www.gbif.org/species/180661221: Trachemys scripta scripta (Schoepff, 1792) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1997
152543141	BE	present	introduced	casual	pet	2010/2024	https://www.gbif.org/species/180661221: Trachemys scripta scripta (Schoepff, 1792) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2010
152543142	BE	present	introduced	na	na	2007/2023	https://www.gbif.org/species/206104543: Lentinula edodes in Swinnen K, Bronne L, Herremans M, Gielen K, Adriaens T, Baartmans T, Baert D, Baltus H, Barendse R, Boeraeve M, Boers K, Bogaert J, Bosteels Y, Bouillard N, Claerebout S, De Knijf G, De Beer D, De Smedt P, De Cock R, De Grave D, De Ketelaere A, De Witte J, Deblauwe I, Decrick L, Dekeukeleire D, Deraedt H, Devalez J, D'Haeseleer J, Driessens G, Drukker D, Eysermans D, Fagot J, Hendrickx R, Jooris R, Langeraert W, Lavreys E, Lock K, Logghe G, Maes K, Mayon N, Moonen E, Mortelmans J, Muls D, Opdekamp W, Peeters K, Pieters R, Pollet M, Ravoet J, Rhebergen F, Schneider A, Schoonvaere K, Segers S, Septor R, Soors J, Speybroeck J, Steeman C, Steeman R, Thomaes A, Uitterhaegen B, van Doorn L, van der Schoot P, Van den Neucker T, van den Berg E, Van Sanden P, Van De Poel S, Van Steenwinkel C, Vanormelingen P, Vantieghem P, Veraghtert W, Verbelen D, Verbeylen G, Verhaeghe F, Verheyde F, Vermeiren H, Vertommen W, Zeegers T, Lambrechts J, Vanreusel W, Paquet J, Desmet P (2025). Waarnemingen.be / observations.be - List of species observed in Belgium. Version 1.3. Natuurpunt. Checklist dataset https://doi.org/10.15468/a7wkuh	2007
152543142	BE	present	introduced	na	na	2007/2023	https://www.gbif.org/species/206104543: Lentinula edodes in Swinnen K, Bronne L, Herremans M, Gielen K, Adriaens T, Baartmans T, Baert D, Baltus H, Barendse R, Boeraeve M, Boers K, Bogaert J, Bosteels Y, Bouillard N, Claerebout S, De Knijf G, De Beer D, De Smedt P, De Cock R, De Grave D, De Ketelaere A, De Witte J, Deblauwe I, Decrick L, Dekeukeleire D, Deraedt H, Devalez J, D'Haeseleer J, Driessens G, Drukker D, Eysermans D, Fagot J, Hendrickx R, Jooris R, Langeraert W, Lavreys E, Lock K, Logghe G, Maes K, Mayon N, Moonen E, Mortelmans J, Muls D, Opdekamp W, Peeters K, Pieters R, Pollet M, Ravoet J, Rhebergen F, Schneider A, Schoonvaere K, Segers S, Septor R, Soors J, Speybroeck J, Steeman C, Steeman R, Thomaes A, Uitterhaegen B, van Doorn L, van der Schoot P, Van den Neucker T, van den Berg E, Van Sanden P, Van De Poel S, Van Steenwinkel C, Vanormelingen P, Vantieghem P, Veraghtert W, Verbelen D, Verbeylen G, Verhaeghe F, Verheyde F, Vermeiren H, Vertommen W, Zeegers T, Lambrechts J, Vanreusel W, Paquet J, Desmet P (2025). Waarnemingen.be / observations.be - List of species observed in Belgium. Version 1.3. Natuurpunt. Checklist dataset https://doi.org/10.15468/a7wkuh	2007
152543147	BE	present	introduced	na	na	1968/2024	https://www.gbif.org/species/180661099: Natrix helvetica Lacépède, 1789 in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1968
152543147	BE	present	introduced	established	conservationorwildlifemanagement|landscapeimprovement	1996/2024	https://www.gbif.org/species/180661099: Natrix helvetica Lacépède, 1789 in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1996
152543147	BE	present	introduced	colonising	conservationorwildlifemanagement|contaminantnursery|landscapeimprovement	1968/2024	https://www.gbif.org/species/180661099: Natrix helvetica Lacépède, 1789 in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1968
152543152	BE	present	introduced	na	na	2000/2000	https://www.gbif.org/species/143610819: Melampsoridium betulinum (Fr.) Kleb. in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	2000
152543157	BE	present	introduced	na	na	2000/2005	https://www.gbif.org/species/143610791: Tranzschelia discolor (Fuckel) Tranzschel & M.A. Litv. in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	2000
152543162	BE	present	introduced	na	na	1852/1852	https://www.gbif.org/species/143610916: Uromyces veratri (DC.) J. Schröt. in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	1852
152543166	BE	present	introduced	na	na	1879/1882	https://www.gbif.org/species/143610851: Gymnosporangium confusum Plowr. in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	1879
152543167	BE	present	introduced	na	na	1878/2008	https://www.gbif.org/species/143610852: Gymnosporangium sabinae (Dicks.) G. Winter in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	1878
152543168	BE	present	introduced	na	na	1998/2024	https://www.gbif.org/species/180661133: Podarcis siculus (Rafinesque-schmaltz, 1810) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1998
152543168	BE	present	introduced	casual	na	1998/1998	https://www.gbif.org/species/180661133: Podarcis siculus (Rafinesque-schmaltz, 1810) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1998
152543168	BE	present	introduced	established	othertransport|pet|timbertrade	2004/2024	https://www.gbif.org/species/180661133: Podarcis siculus (Rafinesque-schmaltz, 1810) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2004
152543169	BE	present	introduced	na	na	1970/2024	https://www.gbif.org/species/180661134: Podarcis muralis (Laurenti, 1768) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1970
152543169	BE	present	introduced	established	othertransport	1970/2024	https://www.gbif.org/species/180661134: Podarcis muralis (Laurenti, 1768) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	1970
152543169	BE	present	introduced	colonising	othertransport	2004/2024	https://www.gbif.org/species/180661134: Podarcis muralis (Laurenti, 1768) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	2004
152543171	BE	present	introduced	na	na	1996/2004	https://www.gbif.org/species/143610858: Cumminsiella mirabilissima (Peck) Nannf. in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	1996
152543176	BE	present	introduced	na	na	1895/1895	https://www.gbif.org/species/143611080: Puccinia pazschkei Dietel in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	1895
152543178	BE	present	introduced	na	na	2001/2001	https://www.gbif.org/species/140562918: Dendrocoelum romanodanubiale in Boets P, Lock K, Mertens J, Goethals P, Adriaens T, Groom Q, Brosens D, Desmet P, Reyserhove L, Govaert S (2025). Inventory of alien macroinvertebrates in Flanders, Belgium. Version 1.6. Ghent University. Checklist dataset https://doi.org/10.15468/yxcq07	2001
152543178	BE	present	introduced	established	waterwaysbasinsseas	2001/2001	https://www.gbif.org/species/140562918: Dendrocoelum romanodanubiale in Boets P, Lock K, Mertens J, Goethals P, Adriaens T, Groom Q, Brosens D, Desmet P, Reyserhove L, Govaert S (2025). Inventory of alien macroinvertebrates in Flanders, Belgium. Version 1.6. Ghent University. Checklist dataset https://doi.org/10.15468/yxcq07	2001
152543181	BE	present	introduced	na	na		https://www.gbif.org/species/143611057: Puccinia oxalidis Dietel & Ellis in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	
152543183	BE	present	introduced	na	na	1947/1947	https://www.gbif.org/species/143611064: Puccinia antirrhini Dietel & Holw. in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	1947
152543185	BE	present	introduced	na	na	2009/2009	https://www.gbif.org/species/143611049: Puccinia komarovii Tranzschel in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	2009
152543187	BE	present	introduced	na	na	1997/1997	https://www.gbif.org/species/143611047: Puccinia sorghi Schwein. in Vanderweyen A, Fraiture A, Groom Q, Desmet P, Reyserhove L (2019). Catalogue of the Rust Fungi of Belgium. Version 1.2. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/2dboyn	1997
152543192	BE	present	introduced	na	na	2022/2022	https://www.gbif.org/species/247430524: Bipalium kewense in Swinnen K, Bronne L, Herremans M, Gielen K, Adriaens T, Baartmans T, Baert D, Baltus H, Barendse R, Boeraeve M, Boers K, Bogaert J, Bosteels Y, Bouillard N, Claerebout S, De Knijf G, De Beer D, De Smedt P, De Cock R, De Grave D, De Ketelaere A, De Witte J, Deblauwe I, Decrick L, Dekeukeleire D, Deraedt H, Devalez J, D'Haeseleer J, Driessens G, Drukker D, Eysermans D, Fagot J, Hendrickx R, Jooris R, Langeraert W, Lavreys E, Lock K, Logghe G, Maes K, Mayon N, Moonen E, Mortelmans J, Muls D, Opdekamp W, Peeters K, Pieters R, Pollet M, Ravoet J, Rhebergen F, Schneider A, Schoonvaere K, Segers S, Septor R, Soors J, Speybroeck J, Steeman C, Steeman R, Thomaes A, Uitterhaegen B, van Doorn L, van der Schoot P, Van den Neucker T, van den Berg E, Van Sanden P, Van De Poel S, Van Steenwinkel C, Vanormelingen P, Vantieghem P, Veraghtert W, Verbelen D, Verbeylen G, Verhaeghe F, Verheyde F, Vermeiren H, Vertommen W, Zeegers T, Lambrechts J, Vanreusel W, Paquet J, Desmet P (2025). Waarnemingen.be / observations.be - List of species observed in Belgium. Version 1.3. Natuurpunt. Checklist dataset https://doi.org/10.15468/a7wkuh	2022
