taxonKey	canonicalName	kingdom	class	year_2023_em_status_occupancy_natura2000_Flanders	year_2023_em_status_occs_natura2000_Flanders	year_2022_em_status_occupancy_natura2000_Flanders	year_2022_em_status_occs_natura2000_Flanders	year_2021_em_status_occupancy_natura2000_Flanders	year_2021_em_status_occs_natura2000_Flanders	mean_growth	kingdomKey	classKey
9185677	Podarcis siculus	Animalia	Squamata	3	3	3	3	1	1		1	11592253
2480446	Haliaeetus leucocephalus	Animalia	Aves	3	3	3	3	0	0		1	212
2490384	Cardinalis cardinalis	Animalia	Aves	3	3	3	3	0	0		1	212
1346919	Isodontia mexicana	Animalia	Insecta	3	3	3	2	3	2		1	216
7156971	Oxalis triangularis	Plantae	Magnoliopsida	3	3	3	2	1	1		6	220
5328593	Aponogeton distachyos	Plantae	Liliopsida	3	3	2	3	2	3	1.2255157540829602	6	196
5328909	Sagittaria latifolia	Plantae	Liliopsida	3	3	2	3	2	3	1.1203425504606128	6	196
1152186	Callidiellum rufipennis	Animalia	Insecta	3	3	2	2	3	3		1	216
2227300	Procambarus clarkii	Animalia	Malacostraca	3	3	2	2	3	3		1	229
2473341	Numida meleagris	Animalia	Aves	3	3	2	2	3	2		1	212
2869597	Sauromatum venosum	Plantae	Liliopsida	3	3	1	1	3	3		6	196
2956442	Colutea orientalis	Plantae	Magnoliopsida	3	3	1	1	3	3		6	220
3856436	Viburnum davidi	Plantae	Magnoliopsida	3	3	1	1	3	3		6	220
8408816	Colchicum byzantinum	Plantae	Liliopsida	3	3	1	1	3	3		6	196
4427319	Anthrenus angustefasciatus	Animalia	Insecta	3	3	1	1	2	2		1	216
1713034	Gryllus bimaculatus	Animalia	Insecta	3	3	1	1	1	1		1	216
1749449	Cameraria ohridella	Animalia	Insecta	3	3	1	1	1	1		1	216
2000204	Periplaneta australasiae	Animalia	Insecta	3	3	1	1	1	1		1	216
2053954	Prokelisia marginata	Animalia	Insecta	3	3	1	1	1	1		1	216
2115706	Balanus glandula	Animalia	Maxillopoda	3	3	1	1	1	1		1	203
2650829	Cyrtomium falcatum	Plantae	Polypodiopsida	3	3	1	1	1	1		6	7228684
3896282	Teucrium hircanicum	Plantae	Magnoliopsida	3	3	1	1	1	1		6	220
5041466	Sceliphron caementarium	Animalia	Insecta	3	3	1	1	1	1		1	216
5229136	Vanellus armatus	Animalia	Aves	3	3	1	1	1	1		1	212
5334253	Lonicera involucrata	Plantae	Magnoliopsida	3	3	1	1	1	1		6	220
7322122	Davidia involucrata	Plantae	Magnoliopsida	3	3	1	1	1	1		6	220
7763534	Lauritrioza alacris	Animalia	Insecta	3	3	1	1	1	1		1	216
7790614	Crataegus coccinea	Plantae	Magnoliopsida	3	3	1	1	1	1		6	220
8889878	Elaphe taeniura	Animalia	Squamata	3	3	1	1	1	1		1	11592253
5189032	Corbicula fluminalis	Animalia	Bivalvia	3	3	0	0	1	1		1	137
1309606	Andricus grossulariae	Animalia	Insecta	3	3	0	0	0	0		1	216
2188249	Varroa destructor	Animalia	Arachnida	3	3	0	0	0	0		1	367
2489080	Lamprotornis purpureus	Animalia	Aves	3	3	0	0	0	0		1	212
2726360	Carex grayi	Plantae	Liliopsida	3	3	0	0	0	0		6	196
2762737	Musa basjoo	Plantae	Liliopsida	3	3	0	0	0	0		6	196
2874199	Passiflora caerulea	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
2928538	Ipomoea hederacea	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
3034046	Persea americana	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
3152816	Platanus orientalis	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
5420957	Clarkia unguiculata	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
5229205	Eudocimus albus	Animalia	Aves	3	2	3	3	1	1		1	212
5959231	Ara ararauna	Animalia	Aves	3	2	3	2	3	3		1	212
8323485	Haemorhous mexicanus	Animalia	Aves	3	2	3	2	3	2		1	212
1651430	Aedes albopictus	Animalia	Insecta	3	2	3	2	1	1		1	216
8406661	Silene uniflora	Plantae	Magnoliopsida	3	2	3	2	1	1		6	220
4845776	Lonchura oryzivora	Animalia	Aves	3	2	3	2	0	0		1	212
5123474	Anthophila nemorana	Animalia	Insecta	3	2	2	2	3	3		1	216
5420978	Clarkia amoena	Plantae	Magnoliopsida	3	2	2	2	3	3		6	220
3069460	Euphorbia oblongata	Plantae	Magnoliopsida	3	2	2	2	3	2		6	220
2142456	Uloborus plumipes	Animalia	Arachnida	3	2	2	2	2	2		1	367
3111754	Zinnia elegans	Plantae	Magnoliopsida	3	2	2	2	2	2		6	220
1852787	Blastobasis lacticolella	Animalia	Insecta	3	2	1	2	3	1		1	216
2888797	Cephalaria gigantea	Plantae	Magnoliopsida	3	2	1	1	3	3		6	220
2856920	Allium hollandicum	Plantae	Liliopsida	3	2	1	1	3	2		6	196
1749580	Phyllocnistis citrella	Animalia	Insecta	3	2	1	1	1	1		1	216
3065244	Euphorbia amygdaloides robbiae	Plantae	Magnoliopsida	3	2	1	1	1	1		6	220
3189843	Acer tataricum	Plantae	Magnoliopsida	3	2	1	1	1	1		6	220
2495494	Geopelia cuneata	Animalia	Aves	3	2	0	0	1	1		1	212
2495414	Columba livia	Animalia	Aves	3	1	3	1	3	3	0.9968257715153999	1	212
3690997	Cardamine occulta	Plantae	Magnoliopsida	3	1	3	1	3	3	0.98970833594576	6	220
2498046	Chenonetta jubata	Animalia	Aves	3	1	2	1	2	1	0.996830502726313	1	212
5561475	Chaenostoma cordatum	Plantae	Magnoliopsida	3	1	2	1	2	1	0.8276004964071698	6	220
4989904	Harmonia axyridis	Animalia	Insecta	3	0	3	0	3	3	0.9315879338524573	1	216
2020655	Corythucha ciliata	Animalia	Insecta	3	0	3	0	3	0	0.7634429754496066	1	216
5361785	Myriophyllum aquaticum	Plantae	Magnoliopsida	3	0	3	0	2	0	0.8518735729124467	6	220
2747564	Crocus tommasinianus	Plantae	Liliopsida	2	3	3	3	3	3	1.3225712160288179	6	196
3602683	Papaver cambricum	Plantae	Magnoliopsida	2	3	3	3	3	3	1.2573784991498103	6	220
1421091	Lepisma saccharinum	Animalia	Insecta	2	3	3	3	3	3	1.2323394965603225	1	216
3033896	Berberis thunbergii	Plantae	Magnoliopsida	2	3	3	3	3	3	1.165822172183562	6	220
8190231	Corbicula fluminea	Animalia	Bivalvia	2	3	3	3	3	3	1.1220657941951515	1	137
2747567	Crocus vernus	Plantae	Liliopsida	2	3	3	3	3	3	1.1164514220796444	6	196
7346102	Erythranthe guttata	Plantae	Magnoliopsida	2	3	3	3	3	3	1.0802161561102592	6	220
3067353	Euphorbia characias	Plantae	Magnoliopsida	2	3	3	3	3	3	1.0750039973150973	6	220
2473477	Syrmaticus reevesii	Animalia	Aves	2	3	3	3	3	3	1.0632399311370822	1	212
2687210	Tsuga heterophylla	Plantae	Pinopsida	2	3	3	3	3	3	1.0609255180308026	6	194
2685361	Abies grandis	Plantae	Pinopsida	2	3	3	3	2	3	1.1340365926446534	6	194
8080743	Scilla siberica	Plantae	Liliopsida	2	3	3	3	2	3	1.0584326809137354	6	196
3133938	Coreopsis lanceolata	Plantae	Magnoliopsida	2	3	3	3	2	3	1.0271112779410498	6	220
3152861	Liriodendron tulipifera	Plantae	Magnoliopsida	2	3	3	3	2	3	1.017593650812894	6	220
3171952	Verbascum speciosum	Plantae	Magnoliopsida	2	3	2	3	3	3	1.2444850686749755	6	220
3172615	Catalpa bignonioides	Plantae	Magnoliopsida	2	3	2	3	3	3	1.2180382023584855	6	220
5410151	Campanula poscharskyana	Plantae	Magnoliopsida	2	3	2	3	3	3	1.1132138320495577	6	220
3120692	Artemisia crithmifolia	Plantae	Magnoliopsida	2	3	2	3	3	3	1.1054984215354544	6	220
2225772	Hemigrapsus sanguineus	Animalia	Malacostraca	2	3	2	3	3	3	1.0909053557160728	1	229
5358907	Trifolium alexandrinum	Plantae	Magnoliopsida	2	3	2	3	3	3	1.078109229604521	6	220
3088310	Petasites japonicus	Plantae	Magnoliopsida	2	3	2	3	3	3	1.0726873294241213	6	220
7915783	Oenothera fallax	Plantae	Magnoliopsida	2	3	2	3	3	3	1.0679181290145106	6	220
3000610	Chaenomeles japonica	Plantae	Magnoliopsida	2	3	2	3	3	3	1.0643411943553633	6	220
2891707	Oxalis debilis	Plantae	Magnoliopsida	2	3	2	3	3	3	1.0393416957567656	6	220
2986111	Ribes aureum	Plantae	Magnoliopsida	2	3	2	3	3	3	1.0087312618165145	6	220
2650827	Cyrtomium fortunei	Plantae	Polypodiopsida	2	3	2	3	2	3	1.375055124819695	6	7228684
5420991	Ludwigia peploides	Plantae	Magnoliopsida	2	3	2	3	2	3	1.271572151297615	6	220
2891755	Oxalis latifolia	Plantae	Magnoliopsida	2	3	2	3	2	3	1.0815374030140712	6	220
2772094	Muscari botryoides	Plantae	Liliopsida	2	3	2	3	2	3	1.0802088830154293	6	196
3026074	Cotoneaster salicifolius	Plantae	Magnoliopsida	2	3	2	3	2	3	1.0614873092854602	6	220
2498408	Lophodytes cucullatus	Animalia	Aves	2	3	2	3	2	3	1.039853127905999	1	212
3172266	Jasminum nudiflorum	Plantae	Magnoliopsida	2	3	2	2	1	1		6	220
5228034	Chrysolophus pictus	Animalia	Aves	2	3	1	3	2	3	1.0327867066177325	1	212
5396474	Heliopsis helianthoides	Plantae	Magnoliopsida	2	3	1	1	2	2		6	220
5373039	Salix sepulcralis chrysocoma	Plantae	Magnoliopsida	2	3	1	1	1	1		6	220
1421095	Ctenolepisma lineata	Animalia	Insecta	2	2	3	3	3	3		1	216
1622599	Rhagoletis cingulata	Animalia	Insecta	2	2	3	3	3	3		1	216
1997215	Blattella germanica	Animalia	Insecta	2	2	3	3	3	3		1	216
2149679	Holocnemus pluchei	Animalia	Arachnida	2	2	3	3	3	3		1	367
2153287	Zoropsis spinimana	Animalia	Arachnida	2	2	3	3	3	3		1	367
2767271	Scilla luciliae	Plantae	Liliopsida	2	2	3	3	3	3		6	196
2857017	Allium paradoxum	Plantae	Liliopsida	2	2	3	3	3	3		6	196
2956441	Colutea media	Plantae	Magnoliopsida	2	2	3	3	3	3		6	220
3085357	Saponaria ocymoides	Plantae	Magnoliopsida	2	2	3	3	3	3		6	220
3098951	Cosmos sulphureus	Plantae	Magnoliopsida	2	2	3	3	3	3		6	220
5179027	Scutigera coleoptrata	Animalia	Chilopoda	2	2	3	3	3	3		1	360
5188971	Rangia cuneata	Animalia	Bivalvia	2	2	3	3	3	3		1	137
7127354	Cyclamen coum	Plantae	Magnoliopsida	2	2	3	3	3	3		6	220
7560711	Oxalis tetraphylla	Plantae	Magnoliopsida	2	2	3	3	3	3		6	220
3067891	Euphorbia prostrata	Plantae	Magnoliopsida	2	2	3	3	3	2		6	220
5284237	Cryptomeria japonica	Plantae	Pinopsida	2	2	3	3	3	2		6	194
1031684	Lepinotus patruelis	Animalia	Insecta	2	2	3	3	2	2		1	216
2855439	Galanthus woronowii	Plantae	Liliopsida	2	2	3	3	2	2		6	196
3664589	Oenothera lindheimeri	Plantae	Magnoliopsida	2	2	3	3	2	2		6	220
4483971	Populicerus albicans	Animalia	Insecta	2	2	3	3	2	2		1	216
4486243	Oxycarenus lavaterae	Animalia	Insecta	2	2	3	3	2	2		1	216
10801424	Salvia yangii	Plantae	Magnoliopsida	2	2	3	3	2	2		6	220
1737131	Epiphyas postvittana	Animalia	Insecta	2	2	3	3	1	1		1	216
2479407	Myiopsitta monachus	Animalia	Aves	2	2	3	3	1	1		1	212
2875968	Corylus colurna	Plantae	Magnoliopsida	2	2	3	3	1	1		6	220
5229134	Vanellus miles	Animalia	Aves	2	2	3	3	1	1		1	212
3034782	Smyrnium olusatrum	Plantae	Magnoliopsida	2	2	3	2	3	3		6	220
4102952	Knautia macedonica	Plantae	Magnoliopsida	2	2	3	2	3	3		6	220
7681436	Cytisus multiflorus	Plantae	Magnoliopsida	2	2	3	2	3	3		6	220
3040184	Populus balsamifera	Plantae	Magnoliopsida	2	2	3	2	3	2	0.9873639924458473	6	220
2928026	Nemophila menziesii	Plantae	Magnoliopsida	2	2	3	2	3	2		6	220
5421180	Koelreuteria paniculata	Plantae	Magnoliopsida	2	2	3	2	3	2		6	220
2926992	Salvia hispanica	Plantae	Magnoliopsida	2	2	3	2	2	2		6	220
3190522	Cotinus coggygria	Plantae	Magnoliopsida	2	2	3	2	2	2		6	220
2480410	Parabuteo unicinctus	Animalia	Aves	2	2	3	2	1	2		1	212
2767229	Scilla sardensis	Plantae	Liliopsida	2	2	2	3	3	3		6	196
5218823	Mustela vison	Animalia	Mammalia	2	2	2	3	2	2		1	359
2227663	Rhithropanopeus harrisii	Animalia	Malacostraca	2	2	2	3	1	1		1	229
2227289	Procambarus acutus	Animalia	Malacostraca	2	2	2	2	3	3		1	229
2295442	Limacus flavus	Animalia	Gastropoda	2	2	2	2	3	3		1	225
2443002	Trachemys scripta	Animalia	Testudines	2	2	2	2	3	3		1	11418114
2856780	Allium cristophii	Plantae	Liliopsida	2	2	2	2	3	3		6	196
2859597	Ipheion uniflorum	Plantae	Liliopsida	2	2	2	2	3	3		6	196
3088488	Tagetes erecta	Plantae	Magnoliopsida	2	2	2	2	3	3		6	220
5341558	Gilia tricolor	Plantae	Magnoliopsida	2	2	2	2	3	3		6	220
5384931	Houttuynia cordata	Plantae	Magnoliopsida	2	2	2	2	3	3		6	220
5408682	Lobelia pedunculata	Plantae	Magnoliopsida	2	2	2	2	3	3		6	220
7540164	Arion vulgaris	Animalia	Gastropoda	2	2	2	2	3	3		1	225
8745918	Deroceras invadens	Animalia	Gastropoda	2	2	2	2	3	3		1	225
4568269	Paralaoma servilis	Animalia	Gastropoda	2	2	2	2	3	2		1	225
2437450	Tamias sibiricus	Animalia	Mammalia	2	2	2	2	2	3		1	359
2049661	Adelges abietis	Animalia	Insecta	2	2	2	2	2	2		1	216
2439270	Rattus rattus	Animalia	Mammalia	2	2	2	2	2	2		1	359
2440946	Muntiacus reevesi	Animalia	Mammalia	2	2	2	2	2	2		1	359
2684171	Thuja plicata	Plantae	Pinopsida	2	2	2	2	2	2		6	194
2684191	Taxodium distichum	Plantae	Pinopsida	2	2	2	2	2	2		6	194
2781103	Hemerocallis lilioasphodelus	Plantae	Liliopsida	2	2	2	2	2	2		6	196
2857697	Allium cepa	Plantae	Liliopsida	2	2	2	2	2	2		6	196
2888323	Clethra alnifolia	Plantae	Magnoliopsida	2	2	2	2	2	2		6	220
2888579	Leycesteria formosa	Plantae	Magnoliopsida	2	2	2	2	2	2		6	220
3026040	Cotoneaster suecicus	Plantae	Magnoliopsida	2	2	2	2	2	2		6	220
3112364	Cynara cardunculus	Plantae	Magnoliopsida	2	2	2	2	2	2		6	220
4567717	Boettgerilla pallens	Animalia	Gastropoda	2	2	2	2	2	2		1	225
5154481	Stictocephala bisonia	Animalia	Insecta	2	2	2	2	2	2		1	216
5228229	Balearica regulorum	Animalia	Aves	2	2	2	2	2	2		1	212
5284231	Metasequoia glyptostroboides	Plantae	Pinopsida	2	2	2	2	2	2		6	194
5373124	Malcolmia maritima (L.) W.T.Aiton	Plantae	Magnoliopsida	2	2	2	2	2	2		6	220
2985964	Deutzia gracilis	Plantae	Magnoliopsida	2	2	2	2	1	1		6	220
3172549	Campsis radicans	Plantae	Magnoliopsida	2	2	2	2	1	1		6	220
5930559	Ilex altaclerensis	Plantae	Magnoliopsida	2	2	2	2	1	1		6	220
2297108	Milax gagates	Animalia	Gastropoda	2	2	1	1	3	2		1	225
2891664	Oxalis articulata	Plantae	Magnoliopsida	2	2	1	1	3	2		6	220
6100996	Crithagra mozambica	Animalia	Aves	2	2	1	1	3	2		1	212
5228033	Chrysolophus amherstiae	Animalia	Aves	2	2	1	1	2	2		1	212
1751299	Bucculatrix ainsliella	Animalia	Insecta	2	2	1	1	1	1		1	216
2157245	Steatoda grossa	Animalia	Arachnida	2	2	1	1	1	1		1	367
2437282	Tamiasciurus hudsonicus	Animalia	Mammalia	2	2	1	1	1	1		1	359
2914404	Galium verum wirtgenii	Plantae	Magnoliopsida	2	2	1	1	1	1		6	220
5227775	Phasianus versicolor	Animalia	Aves	2	2	1	1	1	1		1	212
5359099	Trifolium suffocatum	Plantae	Magnoliopsida	2	2	1	1	1	1		6	220
10902460	Salvia rosmarinus	Plantae	Magnoliopsida	2	2	1	1	1	1		6	220
2498094	Anas capensis	Animalia	Aves	2	2	0	0	0	0		1	212
2498097	Anas castanea	Animalia	Aves	2	2	0	0	0	0		1	212
5359660	Glycine max	Plantae	Magnoliopsida	2	2	0	0	0	0		6	220
5372875	Salix myrsinifolia	Plantae	Magnoliopsida	2	2	0	0	0	0		6	220
5384390	Amaranthus cruentus	Plantae	Magnoliopsida	2	2	0	0	0	0		6	220
3033242	Anemone blanda	Plantae	Magnoliopsida	2	1	3	3	3	3	1.0009284410948163	6	220
2925816	Cynoglossum amabile	Plantae	Magnoliopsida	2	1	3	3	3	3		6	220
3039267	Elaeagnus umbellata	Plantae	Magnoliopsida	2	1	3	1	3	1	0.9745858519773233	6	220
3046015	Cardamine corymbosa	Plantae	Magnoliopsida	2	1	3	1	3	1	0.7839440285802355	6	220
4483961	Viridicerus ustulatus	Animalia	Insecta	2	1	3	1	2	3	0.9720398336669188	1	216
8149923	Prunus persica	Plantae	Magnoliopsida	2	1	3	1	2	1	0.9810068697744961	6	220
2772666	Hyacinthus orientalis	Plantae	Liliopsida	2	1	3	1	2	1	0.9306651581435842	6	196
2494303	Serinus canaria	Animalia	Aves	2	1	3	1	2	1	0.8994333300821111	1	212
2985965	Deutzia scabra	Plantae	Magnoliopsida	2	1	3	1	2	1	0.8186622192775608	6	220
3020871	Prunus lusitanica	Plantae	Magnoliopsida	2	1	3	1	2	1	0.8071994862969345	6	220
7400250	Platanus hispanica	Plantae	Magnoliopsida	2	1	3	1	1	1	0.9077130488166806	6	220
2038171	Opsius stactogalus	Animalia	Insecta	2	1	3	1	1	1	0.6872131175458637	1	216
2891783	Impatiens balfourii	Plantae	Magnoliopsida	2	1	2	3	3	3	1.0059782668025503	6	220
2427091	Lithobates catesbeianus	Animalia	Amphibia	2	1	2	3	3	3		1	131
2959443	Gleditsia triacanthos	Plantae	Magnoliopsida	2	1	2	3	3	3		6	220
7989836	Symphytum caucasicum	Plantae	Magnoliopsida	2	1	2	1	3	3	0.9616165577947866	6	220
2498390	Marmaronetta angustirostris	Animalia	Aves	2	1	2	1	3	1	0.9803735440124209	1	212
3040999	Raphanus raphanistrum landra	Plantae	Magnoliopsida	2	1	2	1	3	1	0.9559383451355533	6	220
2498384	Callonetta leucophrys	Animalia	Aves	2	1	2	1	3	1	0.9406173666047051	1	212
2928761	Nicotiana alata	Plantae	Magnoliopsida	2	1	2	1	3	1	0.8949739777804243	6	220
5415012	Linaria purpurea	Plantae	Magnoliopsida	2	1	2	1	3	1	0.8842817661341732	6	220
5341497	Nepeta racemosa	Plantae	Magnoliopsida	2	1	2	1	3	1	0.8647829095657983	6	220
2888585	Viburnum tinus	Plantae	Magnoliopsida	2	1	2	1	3	1	0.855675880031786	6	220
3054117	Aubrieta deltoidea	Plantae	Magnoliopsida	2	1	2	1	3	1	0.8306899501282298	6	220
5831060	Crepis foetida rhoeadifolia	Plantae	Magnoliopsida	2	1	2	1	3	1	0.8253808241701271	6	220
5298765	Iris foetidissima	Plantae	Liliopsida	2	1	2	1	3	1	0.7956668745580748	6	196
4264680	Myocastor coypus	Animalia	Mammalia	2	1	2	1	2	1	0.9604114873867998	1	359
2772174	Muscari armeniacum	Plantae	Liliopsida	2	1	2	1	2	1	0.9540760761596497	6	196
5587240	Silene vulgaris vulgaris	Plantae	Magnoliopsida	2	1	2	1	2	1	0.9470800494663081	6	220
5284827	Picea sitchensis	Plantae	Pinopsida	2	1	2	1	2	1	0.9255168796016943	6	194
2988188	Pyracantha coccinea	Plantae	Magnoliopsida	2	1	2	1	2	1	0.9234904602344605	6	220
3113637	Cirsium rivulare	Plantae	Magnoliopsida	2	1	2	1	2	1	0.914175433938909	6	220
2888437	Papaver orientale	Plantae	Magnoliopsida	2	1	2	1	2	1	0.8990053578679877	6	220
7645931	Salix acutifolia	Plantae	Magnoliopsida	2	1	2	1	2	1	0.887840984150018	6	220
3026334	Cotoneaster divaricatus	Plantae	Magnoliopsida	2	1	2	1	2	1	0.8303060978510199	6	220
7828157	Petroselinum crispum	Plantae	Magnoliopsida	2	1	2	1	2	1	0.8257498551833944	6	220
2479798	Melopsittacus undulatus	Animalia	Aves	2	1	2	1	2	1	0.8041080325028178	1	212
6035638	Chenopodium probstii	Plantae	Magnoliopsida	2	1	2	1	2	1	0.7864078241902064	6	220
3152824	Liquidambar styraciflua	Plantae	Magnoliopsida	2	1	2	1	2	1	0.6325522204019299	6	220
3886505	Phlomis russeliana	Plantae	Magnoliopsida	2	1	2	1	2	1	0.6069650140888088	6	220
2867631	Lemna turionifera	Plantae	Liliopsida	2	1	2	1	2	1	0.5955981925288663	6	196
5392145	Bidens radiata	Plantae	Magnoliopsida	2	1	2	1	1	1	0.9342477385241037	6	220
5384932	Saururus cernuus	Plantae	Magnoliopsida	2	1	2	1	1	1	0.809348059119238	6	220
7102937	Euonymus japonicus	Plantae	Magnoliopsida	2	1	2	1	1	1	0.7921277920879524	6	220
3026454	Spiraea salicifolia	Plantae	Magnoliopsida	2	1	1	1	2	1	0.9695356249534514	6	220
9153437	Salix daphnoides	Plantae	Magnoliopsida	2	1	1	1	2	1	0.8569641099582865	6	220
7855120	Odontites luteus	Plantae	Magnoliopsida	2	1	1	1	2	1	0.8389781011897866	6	220
7266343	Salix purpurea purpurea	Plantae	Magnoliopsida	2	1	1	1	2	1	0.702581900014271	6	220
2288926	Potamocorbula amurensis	Animalia	Bivalvia	2	1	1	1	1	3		1	137
2701578	Juncus foliosus	Plantae	Liliopsida	2	1	1	1	1	1	0.9896318116726205	6	196
2498329	Bucephala albeola	Animalia	Aves	2	1	1	1	1	1	0.7705724203582435	1	212
3170823	Paulownia tomentosa	Plantae	Magnoliopsida	2	0	3	0	3	2	0.9733490614795614	6	220
5334240	Lonicera japonica	Plantae	Magnoliopsida	2	0	3	0	3	0	0.667168811125445	6	220
7127810	Cyclamen hederifolium	Plantae	Magnoliopsida	2	0	3	0	2	2	0.9943547716505456	6	220
3120790	Artemisia verlotiorum	Plantae	Magnoliopsida	2	0	3	0	2	0	0.8642338936884955	6	220
6387003	Equisetum praealtum	Plantae	Polypodiopsida	2	0	2	0	3	0	0.6542183855974766	6	7228684
4565039	Hygromia cinctella	Animalia	Gastropoda	2	0	2	0	3	0	0.5919547532457078	1	225
5825913	Pinus nigra laricio	Plantae	Pinopsida	2	0	2	0	2	0	0.9344280038463721	6	194
3054357	Juglans nigra	Plantae	Magnoliopsida	2	0	2	0	2	0	0.7655418994786445	6	220
2984676	Pachysandra terminalis	Plantae	Magnoliopsida	2	0	2	0	2	0	0.7166237562999711	6	220
2704523	Cortaderia selloana	Plantae	Liliopsida	2	0	2	0	2	0	0.6933098582265268	6	196
3121258	Artemisia princeps	Plantae	Magnoliopsida	2	0	2	0	2	0	0.6211798552512483	6	220
8288647	Pterocarya fraxinifolia	Plantae	Magnoliopsida	2	0	2	0	2	0	0.5846120034472775	6	220
2706209	Pseudosasa japonica	Plantae	Liliopsida	2	0	2	0	2	0	0.4741927230918722	6	196
2718302	Bolboschoenus yagara	Plantae	Liliopsida	2	0	2	0	2	0	0.3064026132631144	6	196
6391417	Rumex thyrsiflorus	Plantae	Magnoliopsida	2	0	2	0	0	0	0.8961854090801267	6	220
3042845	Brassica oleracea	Plantae	Magnoliopsida	1	3	3	3	3	3	1.0847587665404508	6	220
1852831	Blastobasis adustella	Animalia	Insecta	1	3	3	3	3	1		1	216
7266329	Salix alba alba	Plantae	Magnoliopsida	1	3	2	3	3	3	1.0974611367054503	6	220
5156102	Leptoglossus occidentalis	Animalia	Insecta	1	3	1	3	1	3	1.9944463194169968	1	216
5421039	Ludwigia grandiflora	Plantae	Magnoliopsida	1	3	1	3	1	3	1.5006515717352695	6	220
5219858	Ondatra zibethicus	Animalia	Mammalia	1	3	1	3	1	3	1.4848362942944313	1	359
2498034	Anser cygnoides	Animalia	Aves	1	3	1	3	1	3	1.4649462163207165	1	212
2439261	Rattus norvegicus	Animalia	Mammalia	1	3	1	3	1	3	1.4156803338167507	1	359
2037925	Orientus ishidae	Animalia	Insecta	1	3	1	3	1	3	1.320341484999891	1	216
5341201	Anchusa officinalis	Plantae	Magnoliopsida	1	3	1	3	1	3	1.255246034952673	6	220
9451184	Pavo cristatus	Animalia	Aves	1	3	1	3	1	3	1.2496888946118985	1	212
3084015	Phytolacca americana	Plantae	Magnoliopsida	1	3	1	3	1	3	1.2465866098778084	6	220
2498035	Anser indicus	Animalia	Aves	1	3	1	3	1	3	1.2411104401350954	1	212
4067302	Symphytum grandiflorum	Plantae	Magnoliopsida	1	3	1	3	1	3	1.2352246163522134	6	220
