taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
5151589	Blatta orientalis	2024	8	Animalia
5384818	Silene dichotoma	2024	8	Plantae
5641274	Primula denticulata	2024	8	Plantae
7303104	Plantago afra	2024	8	Plantae
2703740	Bromus rubens	2024	7	Plantae
3027332	Spiraea rosalba	2024	7	Plantae
5166339	Lepas anatifera	2024	7	Animalia
5391845	Bidens pilosa	2024	7	Plantae
5395475	Ligularia dentata	2024	7	Plantae
8766638	Hypsopygia nostralis	2024	7	Animalia
1003567	Pectinatella magnifica	2024	6	Animalia
2437397	Callosciurus prevostii	2024	6	Animalia
2498411	Amazonetta brasiliensis	2024	6	Animalia
7358677	Populus nigra var. italica (Moench) Koehne	2024	6	Plantae
2480542	Buteo jamaicensis	2024	5	Animalia
2527401	Favolaschia calocera	2024	5	Fungi
2705503	Glyceria striata	2024	5	Plantae
2928755	Datura innoxia	2024	5	Plantae
2985995	Hydrangea paniculata	2024	5	Plantae
2987948	Neillia tanakae	2024	5	Plantae
5229165	Aegypius monachus	2024	5	Animalia
5380041	Ricinus communis	2024	5	Plantae
5774728	Eriophyes pyri	2024	5	Animalia
6374953	Helleborus orientalis	2024	5	Plantae
3125933	Santolina chamaecyparissus	2023	43	Plantae
3833284	Choisya ternata	2023	30	Plantae
3172613	Catalpa ovata	2023	25	Plantae
1728965	Tachycines asynamorus	2023	21	Animalia
2498094	Anas capensis	2023	21	Animalia
4139037	Eragrostis virescens	2023	21	Plantae
8577467	Amaranthus tuberculatus	2023	20	Plantae
2498097	Anas castanea	2023	19	Animalia
5359660	Glycine max	2023	16	Plantae
5402363	Dimorphotheca pluvialis	2023	16	Plantae
5332120	Betula papyrifera	2023	14	Plantae
2874569	Cucumis sativus	2023	13	Plantae
3025770	Cotoneaster acutifolius	2023	12	Plantae
4230874	Doronicum willdenowii	2023	12	Plantae
4565140	Cernuella cisalpina	2023	12	Animalia
5414959	Collinsia heterophylla	2023	11	Plantae
8292425	Calidris subruficollis	2023	11	Animalia
2307929	Placobdella ornata	2023	9	Animalia
2882631	Pieris japonica	2023	9	Plantae
3034046	Persea americana	2023	9	Plantae
2010226	Sthenarus rotermundi	2023	8	Animalia
2888636	Symphoricarpos orbiculatus	2023	8	Plantae
2891677	Oxalis dillenii	2023	8	Plantae
3046851	Sisymbrium irio	2023	8	Plantae
3110767	Cladanthus mixtus	2023	8	Plantae
5073820	Drosophila suzukii	2023	8	Animalia
5372875	Salix myrsinifolia	2023	8	Plantae
5411453	Campanula medium	2023	8	Plantae
5420957	Clarkia unguiculata	2023	8	Plantae
7547256	Sinelobus vanhaareni	2023	8	Animalia
2489080	Lamprotornis purpureus	2023	7	Animalia
5384390	Amaranthus cruentus	2023	7	Plantae
2092040	Pulvinaria regalis	2023	6	Animalia
2874199	Passiflora caerulea	2023	6	Plantae
12187916	Tarenaya houtteana	2023	6	Plantae
1309606	Andricus grossulariae	2023	5	Animalia
1713034	Gryllus bimaculatus	2023	5	Animalia
2020779	Buchananiella continua	2023	5	Animalia
2650829	Cyrtomium falcatum	2023	5	Plantae
3026035	Cotoneaster coriaceus	2023	5	Plantae
4488933	Stephanitis oberti	2023	5	Animalia
5334253	Lonicera involucrata	2023	5	Plantae
5359169	Trifolium michelianum	2023	5	Plantae
5373039	Salix × sepulcralis var. chrysocoma (Dode) Meikle	2023	5	Plantae
5403508	Crepis tectorum	2023	5	Plantae
5676646	Digitaria aequiglumis	2023	5	Plantae
7322122	Davidia involucrata	2023	5	Plantae
5568424	Dysphania carinata	2022	41	Plantae
7992320	Phorcus lineatus	2022	38	Animalia
5376179	Hornungia petraea	2022	37	Plantae
5366327	Potentilla montana	2022	35	Plantae
2929505	Solanum villosum	2022	25	Plantae
3002530	Rosa gallica	2022	22	Plantae
2928538	Ipomoea hederacea	2022	21	Plantae
3033535	Clematis tangutica	2022	21	Plantae
3100375	Acanthospermum hispidum	2022	20	Plantae
2926055	Asperugo procumbens	2022	17	Plantae
1702101	Anacridium aegyptium	2022	15	Animalia
5333354	Leucothoe fontanesiana	2022	13	Plantae
7358948	Lasius neglectus	2022	13	Animalia
3025605	Cotoneaster zabelii	2022	12	Plantae
2479964	Poicephalus senegalus	2022	11	Animalia
2498350	Somateria spectabilis	2022	11	Animalia
2889010	Rumex cristatus	2022	11	Plantae
2441461	Testudo graeca	2022	10	Animalia
3829143	Erodium stephanianum	2022	10	Plantae
8060423	Cercidiphyllum japonicum	2022	10	Plantae
8773480	Koenigia fennica	2022	10	Plantae
1803163	Utetheisa pulchella	2022	9	Animalia
3033965	Akebia quinata	2022	9	Plantae
2480989	Caracara plancus	2022	8	Animalia
2704394	Cynosurus echinatus	2022	8	Plantae
3054352	Juglans cinerea	2022	8	Plantae
3935421	Malope trifida	2022	8	Plantae
7295374	Anchusa officinalis subsp. officinalis	2022	8	Plantae
7372514	Malcolmia maritima	2022	8	Plantae
7529533	Canna hybrida	2022	8	Plantae
7901010	Rumex obtusifolius subsp. sylvestris (Lam.) Celak.	2022	8	Plantae
8993502	Silene italica	2022	8	Plantae
2925767	Heliotropium europaeum	2022	7	Plantae
2986022	Philadelphus pubescens	2022	7	Plantae
3152367	Malva nicaeensis	2022	7	Plantae
5219681	Sciurus carolinensis	2022	7	Animalia
10769750	Pseudopodospermum hispanicum subsp. hispanicum	2022	7	Plantae
2215949	Melita nitida	2022	6	Animalia
2480446	Haliaeetus leucocephalus	2022	6	Animalia
2489004	Acridotheres ginginianus	2022	6	Animalia
2702822	Echinochloa frumentacea	2022	6	Plantae
2888622	Viburnum plicatum	2022	6	Plantae
2889378	Fagopyrum tataricum	2022	6	Plantae
3044912	Alyssum montanum	2022	6	Plantae
4845776	Lonchura oryzivora	2022	6	Animalia
5296432	Sisyrinchium striatum	2022	6	Plantae
6391417	Rumex thyrsiflorus	2022	6	Plantae
2294275	Eobania vermiculata	2022	5	Animalia
2445034	Tarentola mauritanica	2022	5	Animalia
2498302	Oxyura leucocephala	2022	5	Animalia
2703231	Zizania latifolia	2022	5	Plantae
3883959	Salvia viridis	2022	5	Plantae
4097656	Alnus spaethii	2022	5	Plantae
4487799	Tupiocoris rhododendri	2022	5	Animalia
4932232	Dactylis glomerata subsp. lobata (Drejer) H.Lindb.	2022	5	Plantae
5290069	Parapholis incurva	2022	5	Plantae
5303040	Thalia dealbata	2022	5	Plantae
5387639	Aster ageratoides	2022	5	Plantae
5406735	Sida rhombifolia	2022	5	Plantae
9185677	Podarcis siculus	2022	5	Animalia
