class	kingdom	variable	year	area	n_emerging	n_total
Hydrozoa	Animalia	observations	2021	Natura2000	1	2
Jungermanniopsida	Plantae	observations	2021	Natura2000	1	1
Monogenea	Animalia	observations	2021	Natura2000	1	1
Polychaeta	Animalia	observations	2021	Natura2000	1	4
Tentaculata	Animalia	observations	2021	Natura2000	1	1
Ustilaginomycetes	Fungi	observations	2021	Natura2000	1	2
Anthozoa	Animalia	observations	2021	Natura2000	0	1
Branchiopoda	Animalia	observations	2021	Natura2000	0	1
Copepoda	Animalia	observations	2021	Natura2000	0	1
Gnetopsida	Plantae	observations	2021	Natura2000	0	1
Leotiomycetes	Fungi	observations	2021	Natura2000	0	1
Maxillopoda	Animalia	observations	2021	Natura2000	0	1
Phaeophyceae	Chromista	observations	2021	Natura2000	0	2
Phylactolaemata	Animalia	observations	2021	Natura2000	0	1
Magnoliopsida	Plantae	observations	2022	Natura2000	368	901
Insecta	Animalia	observations	2022	Natura2000	98	195
Aves	Animalia	observations	2022	Natura2000	74	225
Liliopsida	Plantae	observations	2022	Natura2000	73	208
Arachnida	Animalia	observations	2022	Natura2000	13	28
Malacostraca	Animalia	observations	2022	Natura2000	10	32
Polypodiopsida	Plantae	observations	2022	Natura2000	10	20
Gastropoda	Animalia	observations	2022	Natura2000	9	21
Mammalia	Animalia	observations	2022	Natura2000	9	31
Pinopsida	Plantae	observations	2022	Natura2000	9	35
	Animalia	observations	2022	Natura2000	7	25
Amphibia	Animalia	observations	2022	Natura2000	6	11
Bivalvia	Animalia	observations	2022	Natura2000	5	13
Squamata	Animalia	observations	2022	Natura2000	5	16
Testudines	Animalia	observations	2022	Natura2000	4	15
Ascidiacea	Animalia	observations	2022	Natura2000	3	4
Pucciniomycetes	Fungi	observations	2022	Natura2000	3	6
Bryopsida	Plantae	observations	2022	Natura2000	2	2
Clitellata	Animalia	observations	2022	Natura2000	2	6
Diplopoda	Animalia	observations	2022	Natura2000	2	3
Gymnolaemata	Animalia	observations	2022	Natura2000	2	3
Polychaeta	Animalia	observations	2022	Natura2000	2	4
Agaricomycetes	Fungi	observations	2022	Natura2000	1	2
Chilopoda	Animalia	observations	2022	Natura2000	1	1
Demospongiae	Animalia	observations	2022	Natura2000	1	2
Hydrozoa	Animalia	observations	2022	Natura2000	1	2
Jungermanniopsida	Plantae	observations	2022	Natura2000	1	1
Monogenea	Animalia	observations	2022	Natura2000	1	1
Ustilaginomycetes	Fungi	observations	2022	Natura2000	1	2
Anthozoa	Animalia	observations	2022	Natura2000	0	1
Branchiopoda	Animalia	observations	2022	Natura2000	0	1
Copepoda	Animalia	observations	2022	Natura2000	0	1
Ginkgoopsida	Plantae	observations	2022	Natura2000	0	1
Gnetopsida	Plantae	observations	2022	Natura2000	0	1
Leotiomycetes	Fungi	observations	2022	Natura2000	0	1
Maxillopoda	Animalia	observations	2022	Natura2000	0	1
Phaeophyceae	Chromista	observations	2022	Natura2000	0	2
Phylactolaemata	Animalia	observations	2022	Natura2000	0	1
Tentaculata	Animalia	observations	2022	Natura2000	0	1
